Industry,SIC_code,IOC,Sector
"Growing of cereals (except rice), leguminous crops and oil seeds ",111,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of rice ,112,01,"Crop And Animal Production, Hunting And Related Service Activities  "
"Growing of vegetables and melons, roots and tubers ",113,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of sugar cane ,114,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of tobacco ,115,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of fibre crops ,116,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of other non-perennial crops ,119,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of grapes  ,121,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of tropical and subtropical fruits ,122,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of citrus fruits ,123,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of pome fruits and stone fruits ,124,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of other tree and bush fruits and nuts ,125,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of oleaginous fruits ,126,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of beverage crops  ,127,01,"Crop And Animal Production, Hunting And Related Service Activities  "
"Growing of spices, aromatic, drug and pharmaceutical crops ",128,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Growing of other perennial crops ,129,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Plant propagation ,130,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Raising of dairy cattle  ,141,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Raising of other cattle and buffaloes ,142,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Raising of horses and other equines ,143,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Raising of camels and camelids ,144,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Raising of sheep and goats ,145,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Raising of swine/pigs,146,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Raising of poultry ,147,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Raising of other animals  ,149,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Mixed farming ,150,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Support activities for crop production ,161,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Support activities for animal production,162,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Post-harvest crop activities ,163,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Seed processing for propagation ,164,01,"Crop And Animal Production, Hunting And Related Service Activities  "
"Hunting, trapping and related service activities ",170,01,"Crop And Animal Production, Hunting And Related Service Activities  "
Silviculture and other forestry activities ,210,02,Forestry And Logging  
Logging ,220,02,Forestry And Logging  
Gathering of wild growing non-wood products ,230,02,Forestry And Logging  
Support services to forestry ,240,02,Forestry And Logging  
Marine fishing ,311,03,Fishing And Aquaculture  
Freshwater fishing ,312,03,Fishing And Aquaculture  
Marine aquaculture ,321,03,Fishing And Aquaculture  
Freshwater aquaculture ,322,03,Fishing And Aquaculture  
Mining of hard coal,510,05,Mining Of Coal And Lignite  
Mining of lignite ,520,05,Mining Of Coal And Lignite  
Extraction of crude petroleum ,610,06 & 07,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores
